Provide_humanitarian_aid(X0,X1,T1) <- Express_intent_to_provide_humanitarian_aid(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Appeal_for_humanitarian_aid(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Provide_aid(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Host_a_visit(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Make_a_visit(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Consult(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Mediate(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Sign_formal_agreement(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Yield(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T1) <- Declare_truce,_ceasefire(X0,X1,T0).
Provide_humanitarian_aid(X0,X1,T2) <- Threaten(X0,X1,T0), Ease_administrative_sanctions(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Accuse(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Use_conventional_military_force(X0,X1,T0), Demobilize_armed_forces(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Impose_blockade,_restrict_movement(X0,X1,T0), Ease_administrative_sanctions(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Protest_violently,_riot(X0,X1,T0), Make_statement(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Return,_release_person(s)(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Physically_assault(X0,X1,T0), Apologize(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Sexually_assault(X0,X1,T0), Investigate(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Engage_in_diplomatic_cooperation(X0,X1,T0), Cooperate_militarily(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T2) <- Express_intent_to_cooperate(X0,X1,T0), Express_intent_to_provide_humanitarian_aid(X1,X0,T1).
Provide_humanitarian_aid(X0,X1,T3) <- Threaten(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1), Provide_humanitarian_aid(X0,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Use_conventional_military_force(X0,X1,T0), Accuse(X1,X2,T1), Make_statement(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Impose_blockade,_restrict_movement(X0,X1,T0), Protest_violently,_riot(X1,X2,T1), Ease_administrative_sanctions(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Investigate(X1,X2,T1), Return,_release_person(s)(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Fight_with_small_arms_and_light_weapons(X0,X1,T0), Demobilize_armed_forces(X1,X2,T1), Express_intent_to_provide_humanitarian_aid(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Employ_aerial_weapons(X0,X1,T0), Make_pessimistic_comment(X1,X2,T1), Make_optimistic_comment(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0), Demand_release_of_persons_or_property(X1,X2,T1), Return,_release_person(s)(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Kill_by_physical_assault(X0,X1,T0), Investigate_crime,_corruption(X1,X2,T1), Criticize_or_denounce(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Torture(X0,X1,T0), Investigate_human_rights_abuses(X1,X2,T1), Appeal_for_rights(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Use_tactics_of_violent_repression(X0,X1,T0), Demonstrate_military_or_police_power(X1,X2,T1), Yield(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Express_intent_to_ease_administrative_sanctions(X0,X1,T0), Ease_administrative_sanctions(X1,X2,T1), Provide_humanitarian_aid(X0,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Reduce_or_stop_humanitarian_assistance(X0,X1,T0), Appeal_for_humanitarian_aid(X1,X0,T1), Provide_humanitarian_aid(X0,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Violate_ceasefire(X0,X1,T0), Declare_truce,_ceasefire(X1,X2,T1), Mediate(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Ban_political_parties_or_politicians(X0,X1,T0), Appeal_for_political_reform(X1,X2,T1), Express_intent_to_change_institutions,_regime(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Confiscate_property(X0,X1,T0), Return,_release_property(X1,X2,T1), Grant_asylum(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Provide_aid(X0,X1,T0), Provide_aid(X1,X2,T1), Provide_humanitarian_aid(X0,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Share_intelligence_or_information(X0,X1,T0), Engage_in_judicial_cooperation(X1,X2,T1), Engage_in_diplomatic_cooperation(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Receive_deployment_of_peacekeepers(X0,X1,T0), Expel_or_withdraw_peacekeepers(X1,X2,T1), Receive_inspectors(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Increase_military_alert_status(X0,X1,T0), Demobilize_armed_forces(X1,X2,T1), Mobilize_or_increase_armed_forces(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Occupy_territory(X0,X1,T0), Retreat_or_surrender_militarily(X1,X2,T1), Yield(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Carry_out_car_bombing(X0,X1,T0), Halt_mediation(X1,X2,T1), Express_intent_to_accept_mediation(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Detonate_nuclear_weapons(X0,X1,T0), Express_intent_to_de-escalate_military_engagement(X1,X2,T1), Appeal_for_de-escalation_of_military_engagement(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Use_chemical,_biological,_or_radiological_weapons(X0,X1,T0), Use_as_human_shield(X1,X2,T1), Demand_release_of_persons_or_property(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Assassinate(X0,X1,T0), Attempt_to_assassinate(X1,X2,T1), Express_intent_to_yield(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Engage_in_mass_killings(X0,X1,T0), Engage_in_mass_expulsion(X1,X2,T1), Grant_asylum(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Expel_or_deport_individuals(X0,X1,T0), Return,_release_person(s)(X1,X2,T1), Meet_at_a_'third'_location(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0), Meet_at_a_'third'_location(X1,X2,T1), Engage_in_negotiation(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Cooperate_economically(X0,X1,T0), Cooperate_militarily(X1,X2,T1), Express_intent_to_cooperate_militarily(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Express_intent_to_cooperate_economically(X0,X1,T0), Express_intent_to_cooperate_militarily(X1,X2,T1), Express_intent_to_cooperate(X2,X1,T2).
Provide_humanitarian_aid(X0,X1,T3) <- Express_intent_to_provide_economic_aid(X0,X1,T0), Express_intent_to_provide_material_aid(X1,X2,T1), Express_intent_to_provide_humanitarian_aid(X2,X1,T2).
