Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Express_intent_to_cooperate(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Sign_formal_agreement(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Engage_in_judicial_cooperation(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Appeal_for_judicial_cooperation(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Demand_judicial_cooperation(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Threaten(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- fight_with_artillery_and_tanks(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Condemn(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), Sign_formal_agreement(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), fight_with_artillery_and_tanks(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0), Make_statement(X1,X2,T1), Complain_officially(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Make_empathetic_comment(X0,X1,T0), Make_an_appeal_or_request(X1,X2,T1), Complain_officially(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Make_empathetic_comment(X0,X1,T0), Host_a_visit(X1,X2,T1), Demand(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Threaten(X0,X1,T0), Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0), Demand(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Reject_plan,_agreement_to_settle_dispute(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), Make_an_appeal_or_request(X1,X2,T1), Reject_plan,_agreement_to_settle_dispute(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), Sign_formal_agreement(X1,X2,T1), Criticize_or_denounce(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), fight_with_artillery_and_tanks(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
