_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T1) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T1) <- Ease_economic_sanctions,_boycott,_embargo(X0,X1,T0)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T2) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Sign_formal_agreement(X0,X1,T1)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T2) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Engage_in_diplomatic_cooperation(X0,X1,T1)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T2) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Consult(X0,X1,T1)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_meet_or_negotiate(X0,X1,T0), Engage_in_negotiation(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_an_appeal_or_request(X0,X1,T0), Engage_in_negotiation(X0,X1,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_meet_or_negotiate(X0,X1,T0), Meet_at_a_'third'_location(X0,X1,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Host_a_visit(X0,X1,T0), Engage_in_negotiation(X0,X1,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_a_visit(X0,X1,T0), Engage_in_negotiation(X0,X1,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Return,_release_person(s)(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Return,_release_property(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Yield(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Accede_to_demands_for_change_in_policy(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Apologize(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X2,T3) <- _Express_intent_to_provide_humanitarian_aid(X0,X1,T0), Provide_humanitarian_aid(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X2,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X2,T3) <- _Express_intent_to_provide_economic_aid(X0,X1,T0), Provide_economic_aid(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X2,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X2,T3) <- Appeal_for_humanitarian_aid(X0,X1,T0), Provide_humanitarian_aid(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X2,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X2,T3) <- Appeal_for_economic_aid(X0,X1,T0), Provide_economic_aid(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X2,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X2,T3) <- _Express_intent_to_provide_material_aid(X0,X1,T0), Provide_material_aid(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X2,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Engage_in_diplomatic_cooperation(X0,X1,T0), Host_a_visit(X1,X0,T1), Engage_in_diplomatic_cooperation(X0,X1,T2)
