Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Make_statement(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Host_a_visit(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Consult(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Engage_in_diplomatic_cooperation(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Express_intent_to_cooperate(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Express_intent_to_meet_or_negotiate(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Express_intent_to_settle_dispute(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Sign_formal_agreement(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T1) <- Grant_diplomatic_recognition(X0,X1,T0)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Make_statement(X0,X1,T0), Host_a_visit(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Consult(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Express_intent_to_cooperate(X0,X1,T0), Make_a_visit(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Provide_humanitarian_aid(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Cooperate_economically(X0,X1,T0), Express_intent_to_cooperate(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Praise_or_endorse(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Apologize(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Yield(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Mediate(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T2) <- Engage_in_negotiation(X0,X1,T0), Make_statement(X1,X0,T1)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Make_statement(X0,X1,T0), Host_a_visit(X1,X0,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Consult(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Express_intent_to_cooperate(X0,X1,T0), Host_a_visit(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Provide_humanitarian_aid(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Cooperate_economically(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Praise_or_endorse(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Apologize(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Yield(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Mediate(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Engage_in_negotiation(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Share_intelligence_or_information(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Receive_inspectors(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Declare_truce,_ceasefire(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Demobilize_armed_forces(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Return,_release_person(s)(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Forgive(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Defend_verbally(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T3) <- Consider_policy_option(X0,X1,T0), Make_statement(X1,X2,T1), Make_a_visit(X2,X1,T2)
