_Threaten_non-force(X0,X1,T1) <- Give_ultimatum(X0,X1,T0).
_Threaten_non-force(X0,X1,T1) <- Threaten(X0,X1,T0).
_Threaten_non-force(X0,X1,T1) <- Threaten_non-force(X0,X1,T0).
_Threaten_non-force(X0,X2,T2) <- Demand_that_target_yields(X0,X1,T0), Refuse_to_yield(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Reduce_or_break_diplomatic_relations(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Coerce(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_with_sanctions,_boycott,_embargo(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_with_repression(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_with_political_dissent,_protest(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_with_administrative_sanctions(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_to_reduce_or_break_relations(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_to_reduce_or_stop_aid(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_to_halt_mediation(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Threaten_to_halt_negotiations(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Increase_military_alert_status(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Confiscate_property(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Seize_or_damage_property(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Conduct_strike_or_boycott(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Obstruct_passage,_block(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Impose_blockade,_restrict_movement(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Engage_in_violent_protest_for_rights(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Protest_violently,_riot(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Defy_norms,_law(X0,X1,T0), Make_statement(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Ban_political_parties_or_politicians(X0,X1,T0), Make_an_appeal_or_request(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Appeal_for_release_of_persons_or_property(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Expel_or_deport_individuals(X0,X1,T0), Appeal_for_release_of_persons_or_property(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_economic_aid(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_material_aid(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_military_aid(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_judicial_cooperation(X0,X1,T0), Reject(X1,X0,T1).
