_Appeal_to_others_to_meet_or_negotiate(X0,X1,T1) <- Make_an_appeal_or_request(X0,X1,T0)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Demand_change_in_leadership(X0,X1,T0), Accede_to_demands_for_change_in_leadership(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Threaten_non-force(X0,X1,T0), Yield(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Bring_lawsuit_against(X0,X1,T0), Sign_formal_agreement(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Protest_violently,_riot(X0,X1,T0), Complain_officially(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Demonstrate_or_rally(X0,X1,T0), Engage_in_political_dissent(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Host_a_visit(X0,X1,T0), Make_a_visit(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Kill_by_physical_assault(X0,X1,T0), Apologize(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0), Demand_release_of_persons_or_property(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Cooperate_militarily(X0,X1,T0), Reject_military_cooperation(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Grant_diplomatic_recognition(X0,X1,T0), Reduce_relations(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Threaten_with_military_force(X0,X1,T0), Refuse_to_yield(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Mobilize_or_increase_armed_forces(X0,X1,T0), Demobilize_armed_forces(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Use_conventional_military_force(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Declare_truce,_ceasefire(X0,X1,T0), Violate_ceasefire(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Share_intelligence_or_information(X0,X1,T0), Engage_in_judicial_cooperation(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Discuss_by_telephone(X0,X1,T0), Consult(X0,X1,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Carry_out_suicide_bombing(X0,X1,T0), Appeal_for_aid(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Demand_policy_change(X0,X1,T0), Consider_policy_option(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Return,_release_person(s)(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Reject_proposal_to_meet,_discuss,_or_negotiate(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Mediate(X2,X0,X1,T0), Express_intent_to_accept_mediation(X0,X1,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Receive_deployment_of_peacekeepers(X0,X1,T0), Expel_or_withdraw_peacekeepers(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Praise_or_endorse(X0,X1,T0), Criticize_or_denounce(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Accuse_of_war_crimes(X0,X1,T0), Deny_responsibility(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Conduct_hunger_strike(X0,X1,T0), Ease_state_of_emergency_or_martial_law(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Seize_or_damage_property(X0,X1,T0), Return,_release_property(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Engage_in_negotiation(X0,X1,T0), Halt_negotiations(X1,X0,T1)
_Appeal_to_others_to_meet_or_negotiate(X0,X1,T2) <- Provide_humanitarian_aid(X0,X1,T0), Reduce_or_stop_humanitarian_assistance(X1,X0,T1)
