_Engage_in_symbolic_act(X0,X1,T1) <- Accuse(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Make_statement(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Threaten(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Demand(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Express_intent_to_meet_or_negotiate(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Praise_or_endorse(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Criticize_or_denounce(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Make_an_appeal_or_request(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Defy_norms,_law(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Mobilize_or_increase_armed_forces(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T2) <- Accuse(X0,X1,T0), Make_statement(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Threaten(X0,X1,T0), Demand(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Make_statement(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Engage_in_diplomatic_cooperation(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Use_conventional_military_force(X0,X1,T0), Threaten_with_military_force(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Use_unconventional_violence(X0,X1,T0), Kill_by_physical_assault(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Investigate(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Ease_curfew(X0,X1,T0), Ease_administrative_sanctions(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Occupy_territory(X0,X1,T0), Impose_restrictions_on_political_freedoms(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Consult(X0,X1,T0), Mediate(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Sign_formal_agreement(X0,X1,T0), Yield(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Reject(X0,X1,T0), Refuse_to_yield(X1,X2,T1)
