Express_intent_to_release_persons_or_property(X0,X1,T1) <- Appeal_for_release_of_persons_or_property(X0,X1,T0)
Express_intent_to_release_persons_or_property(X0,X1,T1) <- Yield(X0,X1,T0)
Express_intent_to_release_persons_or_property(X0,X1,T1) <- Ease_administrative_sanctions(X0,X1,T0)
Express_intent_to_release_persons_or_property(X0,X1,T1) <- Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)
Express_intent_to_release_persons_or_property(X0,X1,T1) <- Make_an_appeal_or_request(X0,X1,T0)
Express_intent_to_release_persons_or_property(X0,X1,T1) <- Forgive(X0,X1,T0)
Express_intent_to_release_persons_or_property(X0,X1,T2) <- Engage_in_negotiation(X0,X1,T0), Express_intent_to_meet_or_negotiate(X0,X1,T1)
Express_intent_to_release_persons_or_property(X0,X1,T2) <- Sign_formal_agreement(X0,X1,T0), Express_accord(X0,X1,T1)
Express_intent_to_release_persons_or_property(X0,X1,T2) <- Return,_release_person(s)(X1,X0,T0), Make_an_appeal_or_request(X0,X1,T1)
Express_intent_to_release_persons_or_property(X0,X1,T2) <- Declare_truce,_ceasefire(X0,X1,T0), Engage_in_negotiation(X0,X1,T1)
Express_intent_to_release_persons_or_property(X0,X1,T2) <- Provide_humanitarian_aid(X0,X1,T0), Express_intent_to_provide_humanitarian_aid(X0,X1,T1)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0), Demand_release_of_persons_or_property(X1,X0,T1), Threaten(X1,X0,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Complain_officially(X1,X0,T1), Make_an_appeal_or_request(X1,X0,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Confiscate_property(X0,X1,T0), Protest_violently,_riot(X1,X0,T1), Demonstrate_or_rally(X1,X0,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Use_conventional_military_force(X0,X1,T0), Express_intent_to_de-escalate_military_engagement(X0,X1,T1), Declare_truce,_ceasefire(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Accuse(X1,X0,T0), Criticize_or_denounce(X1,X0,T1), Apologize(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Impose_administrative_sanctions(X1,X0,T0), Demand_easing_of_administrative_sanctions(X0,X1,T1), Ease_administrative_sanctions(X1,X0,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Refuse_to_release_persons_or_property(X0,X1,T0), Reject_plan,_agreement_to_settle_dispute(X0,X1,T1), Yield(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Investigate(X0,X1,T1), Express_intent_to_release_persons_or_property(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Cooperate_militarily(X0,X1,T0), Engage_in_material_cooperation(X0,X1,T1), Express_intent_to_cooperate(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Appeal_to_engage_in_or_accept_mediation(X0,X1,T0), Engage_in_negotiation(X0,X1,T1), Express_intent_to_accept_mediation(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Express_intent_to_change_policy(X0,X1,T0), Express_intent_to_institute_political_reform(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Engage_in_judicial_cooperation(X0,X1,T0), Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1), Return,_release_person(s)(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Provide_economic_aid(X0,X1,T0), Express_intent_to_provide_economic_aid(X0,X1,T1), Reduce_or_stop_economic_assistance(X0,X1,T2)
Express_intent_to_release_persons_or_property(X0,X1,T3) <- Make_a_visit(X0,X1,T0), Host_a_visit(X1,X0,T1), Express_accord(X0,X1,T2)
