_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Consult(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Make_a_visit(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Host_a_visit(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Engage_in_negotiation(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_cooperate(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Mediate(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Sign_formal_agreement(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Yield(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Demand_meeting,_negotiation(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Make_statement(X0,X1,T0), Make_an_appeal_or_request(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Consult(X0,X1,T0), Consult(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Make_a_visit(X0,X1,T0), Host_a_visit(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_cooperate(X0,X1,T0), Express_intent_to_cooperate(X1,X0,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Engage_in_diplomatic_cooperation(X0,X1,T0), Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X1,X0,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Provide_aid(X0,X1,T0), Provide_aid(X1,X0,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Praise_or_endorse(X0,X1,T0), Praise_or_endorse(X1,X0,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Criticize_or_denounce(X0,X1,T0), Demand_change_in_leadership(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Threaten_with_military_force(X0,X1,T0), Demand_meeting,_negotiation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Consult(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Consult(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Make_a_visit(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Host_a_visit(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Discuss_by_telephone(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Engage_in_negotiation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Sign_formal_agreement(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Mediate(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Yield(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Apologize(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Forgive(X1,X2,T1).
